comment    like                          nick     postTime  reply  unlike                                user_url
          我想起了韩国漫画家姜草有一部作品叫《追逐时间》,和这部动漫差不多，所以我才看的     NaN                土豆用户_733952739  2017年10月07日    NaN     NaN  http://i.youku.com/i/UMjkzNTgxMDk1Ng==
                        漫画更好看，人物美型一点。腐女表示yy了父亲和儿子     1.0                优酷用户7688053900  2017年09月11日    NaN     NaN  http://i.youku.com/i/UNDE2NDQ4MDA4MA==
          我觉得不好看，单就名字，台词就low到爆了，时间的支配者，把夺取的时间还回来…     NaN                          风之翼刃  2017年07月30日    NaN     9.0      http://i.youku.com/i/UMjc4OTQ0NTQw
             我只能说，中日合作到底是体现在哪里？国漫原作然后拿到日本去改编成动漫吗？     1.0                        s1y2n3  2017年07月29日    NaN     2.0      http://i.youku.com/i/UNTQ4OTA5NjIw
不，这不是国漫，我没见过国漫有这种画风的，国漫的画风现在就只有一种，那就是全职高手那种，巴拉...     NaN                            秋条  2017年07月28日    (1)     5.0  http://i.youku.com/i/UMjkzMTMzNjQ3Mg==
我听到一句话，特么的什么鬼国漫怎么用日语，特么的，然后往下看评论，看到福山润，诶？？诶？？！...     4.0                    饕餮80878356  2017年07月25日    NaN     NaN  http://i.youku.com/i/UMTc1NDU3OTk0MA==
       这画风输出到日本也不会受欢迎，民族的才是世界的，看看那些国际获奖的国产动画就知道了。     NaN                         104老胡  2017年07月11日    NaN     1.0  http://i.youku.com/i/UMzMxMTM2NTQ2NA==
                   之前的动态漫画我是靠着剧情看完的，这次制作成动漫，画风好太多     3.0                       kukelaX  2017年09月17日    NaN     1.0      http://i.youku.com/i/UMjg2NzI5ODA0
                              国漫配音减三分剩下的七分谁便你们怎么打     NaN                          小枫zc  2018年02月01日    NaN     NaN  http://i.youku.com/i/UMTY1NDI0OTQ1Mg==
                   哇！这是国漫吧，看过漫画的我，其实最期待的是黑瞳长歌行动画化    11.0          腾讯用户1466373534563196  2017年07月08日    NaN     3.0  http://i.youku.com/i/UMzczNjUyNjgxMg==
