comment   like                          nick     postTime reply  unlike                                user_url
             有个拳皇动画还不开心，天天不就盼着吗。喷子真多，不行你们自己做要么闭嘴看    5.0                     人潮拥挤我踹死你哈  2017年09月08日   NaN     1.0  http://i.youku.com/i/UMzA0MDg5NjYwNA==
                         雷波拳搞半圆搞了半圆搞大圆，技能口诀小雷拳和雷拳    1.0                  最强屌丝33980144  2017年08月18日   NaN     1.0  http://i.youku.com/i/UMTg5Njg3ODA0NA==
                好好的snk金典 完全被玩儿坏了 ！怎么看 怎么像 画江湖！！靠！    NaN        Benson1479288262779907  2017年08月17日   NaN     1.0  http://i.youku.com/i/UNDE5MTcxNDY5Mg==
 怎么说呢！这个动漫估计就是拳皇命运手游的！就跟内个勇者大冒险一样！不要问我为什么因为我玩过内测！    1.0                    _118854494  2017年08月17日   (1)     NaN  http://i.youku.com/i/UMjU2MzM4NDYwMA==
                    國產做的經然語音有日語的。。。。那怎麼沒有英語呢？？？？？    NaN                        終極麻辣辣條  2017年08月14日   NaN     1.0  http://i.youku.com/i/UMjkwNDY3ODQ0OA==
       不如当年那部《ANNOTHER DAY》,完全是新故事，对于骨灰粉来说算是毁原著了！    NaN                          精制板砖  2017年08月12日   NaN     2.0      http://i.youku.com/i/UMzE5OTk2MjIw
       说国漫差的，我说想你们是敌人派来的逗比吧。没事就来喷国漫，怕国漫抢你们饭碗了吧。呵呵    5.0                        女司机的徒弟  2017年08月05日   (2)     1.0      http://i.youku.com/i/UMTQ2NDExODg=
      我觉得很好，代表一代人的童年。画质渣点没关系。就问你是小时候看的西游记好看，还是后来的    3.0                  挑逗上帝27895450  2017年08月10日   (1)     NaN  http://i.youku.com/i/UMzQzNjYyMDQzNg==
                                                0    NaN                     0o吉尔伽美什o0  2018年01月11日   NaN     NaN  http://i.youku.com/i/UMTM0MTc2NjE0MA==
              日本唯一的拳皇动漫也是极限冲击，为游戏做宣传！那时候上高中看的，挺不错    2.0            方凯1485438044396542  2017年08月04日   NaN     NaN  http://i.youku.com/i/UNDM5OTM5NDUyOA==
                          特效很不错，但是人物形象和设计有点儿崩啊~~~    NaN                     cylsly520          5天前   NaN     NaN      http://i.youku.com/i/UMjc5MTgzNjg=
        画质到不错，可惜人物丑了点。火神实在是画的太丑，火神八神太阳神里明明是火神最帅么。    NaN          微信用户1511624918574105  2017年11月25日   NaN     NaN  http://i.youku.com/i/UNTM3NTY4MzI4OA==
                    技术部成熟就别用了.手绘不更体现特色么！这模型也是没谁了！    1.0                        漆雕i炖牛肉  2017年11月02日   NaN     NaN  http://i.youku.com/i/UNTI5ODg5MzAwMA==
                          我是长见识了，耍招数顺便把街机的按法都给了出来    5.0                       VuV凯洛格x  2017年08月19日   NaN     NaN  http://i.youku.com/i/UNDg4MDg5MDMwMA==
                            我不懂，国产动漫片为毛要用日本歌来做开篇曲    7.0                 支付宝用户82914400  2017年08月25日   (2)     3.0  http://i.youku.com/i/UMzMxOTQ5MzA3Ng==
                       2D动画都没做好，却非要执着于3D，而且还是没做好。    4.0                 支付宝用户79208003  2017年09月21日   NaN     1.0  http://i.youku.com/i/UMzM4MDE4ODk3Mg==
                         孤独的饿狼特瑞一辈子的偶像 价值观的榜样南镇饿狼    1.0              绅士不是我的范儿64767118  2017年09月13日   NaN     2.0  http://i.youku.com/i/UMjg4MzUxOTAwNA==
                        出招瞬间居然还有游戏手柄指令，记住下前拳，哈哈哈哈    1.0                    spider3000  2017年09月04日   NaN     2.0      http://i.youku.com/i/UNzg4NDQ2MA==
               等了15年了终于有动画版的了！！！！在等下去我儿子都会打街机了！！！    4.0                手机用户_413356727  2017年08月28日   NaN     1.0  http://i.youku.com/i/UMTY1MzQyNjkwOA==
               这玩意是日漫？欺负我没看过生化危机么？什么时候日漫3d水平成这样了？    NaN                          医疑蚁意  2017年08月17日   (1)     2.0  http://i.youku.com/i/UMTYxNzUyNzY1Mg==
     这个对话内容还有人物表情动作，太没内涵了，拍绿人的时候，绿人应该也没学过表演，动作浮夸。    NaN                      年少如梦丶123  2017年08月15日   NaN     NaN      http://i.youku.com/i/UNDc5MDc2NA==
                   看的我尴尬症都犯了 特别是那片头曲…我怀疑都是国人唱的霓虹语    NaN                       愤怒的围观群众  2017年08月13日   NaN     NaN  http://i.youku.com/i/UNDAyNjQwMTUxNg==
          动画师能不能找点成手，绑定师能不能下点功夫，中国动画就必须是面瘫嘛！！！！！！    NaN                        幼稚啊啊啊啊  2017年08月09日   (1)     NaN  http://i.youku.com/i/UNDI1MDUyMjQ2NA==
       说不好看的什么心态？不好看别再看，不过估计还是会看只不过习惯了喷而已，中国不缺喷子。    NaN                          流星密语  2017年08月08日   NaN     1.0      http://i.youku.com/i/UMTMwMzg0MzQw
为什么要换3D效果，2D效果的更具有代表性和动画性，那更好看好吧，要搞3D还不如直接真人版的...    NaN                        Z银CHEN  2017年08月06日   NaN     2.0      http://i.youku.com/i/UMjc0MDg5NDY0
其实日本的snk公司只出94-2000，其他2001-14的都是不经典，不是snk公司做的，...    NaN                        -汤姆HuH  2017年08月06日   NaN     5.0  http://i.youku.com/i/UNDg2OTM1NzU1Mg==
               不咋地 还是2d 的拳皇 画风喜欢 拳皇14看了想吐。。。还是13好    NaN                   源4699098216  2017年08月05日   NaN     2.0  http://i.youku.com/i/UNDI0MTQ1NTUzMg==
                     有生之年系列 希望好好做 不要乱改 特瑞能改下大饼脸吗？    NaN                BigBellyDragon  2017年08月04日   NaN     NaN      http://i.youku.com/i/UMjA5ODMzMDg=
      我什么都忍了，广告植入我忍了，红丸那么妖孽我也忍了，尼玛尤莉的脸那么残念我是真的不能忍    NaN                           川月夕  2017年08月03日   NaN     NaN      http://i.youku.com/i/UMzE4OTM4NjA4
                          妈的，最近觉得国漫崛起了，看到这部又特么伤心了    5.0                         腿细毛长_  2017年08月25日   (2)     NaN  http://i.youku.com/i/UMTcwMDM0ODQwMA==
              国漫再怎么做都有人喷真是醉了!现在的日漫还有眼看？还是说你们跪习惯了？    3.0                    生姜的三月48247  2017年08月11日   NaN     4.0  http://i.youku.com/i/UNDgyMjQ1MDk4MA==
                    说实话，有点失望，但也没有别的拳皇动画了，还是将就着看吧！    NaN                     空白de回忆123  2018年02月05日   NaN     NaN  http://i.youku.com/i/UMTY3MDczOTkxNg==
                         如果人物用13的模型应该会更帅一些，特别是草薙。    1.0                          公子慕情  2017年08月12日   (2)     NaN      http://i.youku.com/i/UMTM2MTcxNjQ4
