content  playCount name
                           难道小帅是私生子？继承的不是父母的基因锁。。          0  枪神记
    以前很喜欢玩这个游戏，后来电脑坏了就没玩过了。最喜欢玩的就是刀锋，里面的人物技能都很有特点          0  枪神记
   怎么才24局，第二季怎么没有吗？我们怎么不想那么快就没有了，不会做到第一季就怎么结局了。🙄          0  枪神记
在此说下，很多看动漫的都是新来的，不了解枪神纪这个游戏，遇到说生死回放或者天天酷跑的人，耐心...          0  枪神记
一秒一卡，十分潇洒。一走一停，十分有型。3秒一卡，等到我傻。五步一停，摆个造型。一心等待，加...          0  枪神记
                                       枪神纪老玩家到此一游          0  枪神记
                                    看完舒服。。。。。。。。。          0  枪神记
                                小帅的声音像孙悟空，就是没有大圣吊          0  枪神记
男医生是一个身体，两个意识。该隐因复仇而出现，是后来出现的。看情况修会变成该隐，这么说的话修...          0  枪神记
                       大结局和第一集那么像，难道这就是传说中的首尾呼应吗？          0  枪神记
                                     凌实在是太厉害了👍👍          0  枪神记
                     不得不吐槽，这是不是酷跑英雄改编的。林小帅连服装都一样。          0  枪神记
好久更新啊 怎么这么慢 一个星期一级。中间还要等几年才更新啊？把你这个电视看完，人也能也活到了尽头          0  枪神记
                              我只想说，男主用这名字，问过我吗…😄          0  枪神记
                 现在玩枪神纪的人也越来越少了，应该会因为这部片，很多人会回归吧。          0  枪神记
                            都说了是实战演练 死人都是假的😂😂😂          0  枪神记
                                    男主角的颜值没游戏里面的好          0  枪神记
话说这类的动漫也不是给儿童看的，这主角智商各种秀下限。儿童看的圣斗士都有同一招不会中两次，这...          0  枪神记
动画《枪神记》第九集更新！这一集看的企鹅娘眼泪含眼圈的，真的很泪目，队友们阵亡小帅孤军奋战，...          0  枪神记
                           我看漫画里面都是因为为了保护凌，小帅才暴走的          0  枪神记
哇w🤑🤑😇😬😀😁😁😁😀😃😖😆😎😎😎😎😎😎😎😎🙈🙈...          0  枪神记
其实谷野是这里最冷静无情的人，如果大家都意气用事的话，这个团队还能不能发展下去了，这种人是团...          0  枪神记
                                        好搞笑哈哈😄😄          0  枪神记
一秒一卡，十分潇洒。一走一停，十分有型。3秒一卡，等到我傻。五步一停，摆个造型。一心等待，加...          0  枪神记
首先，我为酷跑先出顶一下，tm确实是酷跑先出的。。。。。后来才有的枪神纪。不信自己去查，枪神...          0  枪神记
                        没玩过游戏，反正觉得这个超好看，画质清晰，人物好看          0  枪神记
                                              还不错          0  枪神记
                      更新速度能不能快点，要在这样下去就没人有耐心看了！！！          0  枪神记
                     玩枪神纪最喜欢玩双枪了 感觉动漫好弱 这不是我想要的双枪          0  枪神记
                                      猴子的空中接力回来了吗          0  枪神记
                                    这片头曲唱的什么鬼，真难听          0  枪神记
                                    啊哈哈哈哈哈哈去了你帮我把          0  枪神记
                                    一个星期多更新几集不行吗？          0  枪神记
                                    闻到了天美的臭味，真尖吧臭          0  枪神记
                                    人物很丑哈哈哈哈哈哈哈哈哈          0  枪神记
                               突破自己琳琅天上求把双枪接力改回来吧          0  枪神记
                              玩枪神纪有几年了才46级，不是经常耍，          0  枪神记
                                   问个问题：新开VIP要多少钱          0  枪神记
                                           你那边拜年祭          0  枪神记
                         这个动漫还不错，林小帅看到了凌的内裤呀，是黑色的          0  枪神记
