comment    like                                  nick     postTime  reply  unlike                                user_url
我发现若森喜欢八卦，无论是题材还是标志形状。。。真的，太极八卦。。。像侠岚，那职位整个就是太...     2.0                         Helen00078646  2017年12月02日    NaN     NaN  http://i.youku.com/i/UMzIxOTcwMzM0MA==
除了侠岚以外，其他的好社会！成人动画是要寓意深刻，不是光有粗话和粗俗情节，这些承认也不看啊。...     2.0                         Helen00078646  2017年12月02日    NaN     NaN  http://i.youku.com/i/UMzIxOTcwMzM0MA==
想听专业点评？画江湖已经不是以前没有资金的时候就，3D动漫画镜头导致建模呆板看起来呆板，国外...     4.0                  优酷用户1463105901419520  2017年09月19日    NaN     NaN  http://i.youku.com/i/UMzY0MjA5OTQ5Ng==
求正能量作品 不仅仅是打打杀杀的 有内涵有主题的可好？好日漫都很感人或者很有意义的 感觉这些...     1.0                                 唐如嫣oO  2018年02月09日    NaN     1.0  http://i.youku.com/i/UNTIwODM4NDE1Mg==
其实没结局也挺好的,但是您要留给我们一个遐想的空间吧,然而并没有遐想而且有下一部的感觉好难等...     4.0                                鸡肉味的姐姐  2017年09月22日    NaN     2.0  http://i.youku.com/i/UMzYwNDUxNDAzMg==
        感觉新的侠岚没什么看头了，打上画江湖系列标记了！估计不是单纯的侠岚了！会变得低俗！     1.0                                 乱花闭眼间  2017年12月15日    NaN     1.0  http://i.youku.com/i/UMTkxNjk3NDAyNA==
特意开了会员看了两集，从《不良人》追到《换世门生》每一部都很不错啊，看别人都在吐槽导演填坑慢...     4.0                                  三峡轻舟  2017年09月14日    NaN     3.0      http://i.youku.com/i/UNjIzNzU4Mzgw
枭哥简直非人类啊，先是中了两枪，接着又挨了一斧子，竟然还是差点把梁众那群人团灭！不得不说，这...     4.0                                  月染星穹  2017年09月14日    NaN     NaN  http://i.youku.com/i/UMzk3NDkxNzgxNg==
真的能看出进步很多在人物模型 场景等，记得侠岚的时候人物模型很粗糙 能看见贴片的头发，胳膊的...     2.0                                我是好大人2  2017年12月14日    NaN     1.0  http://i.youku.com/i/UMzc4MDY5MzYyMA==
每个猪脚长得差距多，故事情节也差不多，反正怎么弄都不会死的，故事情节又臭又长，每个都没有结局...     1.0                                 一朵小花r  2018年02月28日    NaN     NaN  http://i.youku.com/i/UNTMwNzg5OTE4MA==
技术方面：少年锦衣卫确实是最好的，但若森从侠岚到不良人 灵主 杯莫停，已经进步非常明显了，说...     2.0                          游人渐稀82230606  2017年12月02日    NaN     1.0  http://i.youku.com/i/UMzE4OTY4MDM5Mg==
那些说什么没结尾的怎么不去看日本动漫十几年都没结尾 没要求你看 不要在这里胡说八道人家有好的...     3.0                               马仔君君sir  2017年10月06日    NaN     2.0  http://i.youku.com/i/UMTYxODM4MjMxNg==
看了第一集，简评下。首先让我想起了鬼泣系列，当然我是站鬼泣这边的。然后，我觉得是大哥的阴谋，...     NaN                                杰森大大74  2018年01月13日    NaN     NaN  http://i.youku.com/i/UMjk1NDY1MjQ4NA==
好假，当我三岁小孩儿😖这剧情。有枪刚才怎么不打死男主，还有一人灭一个帮那无宗会早无敌了啊。...     1.0                        腾讯用户8113180387  2018年01月10日    (1)     1.0  http://i.youku.com/i/UNDI3MTA4MjY4NA==
3D国漫进步了不少，但还是有不少差距，脸部表情、动作僵硬，材质也不够真实，情有可原吧，毕竟比...     NaN                           a755784165a  2018年01月09日    NaN     NaN  http://i.youku.com/i/UNDE1ODc4ODUxNg==
若森这些动漫没一个有结局的，侠岚 不良人 灵主 杯莫停没一个有结局的 旧的没做完就去做新的，...     2.0                          勿忘初心33717521  2017年10月24日    NaN     NaN  http://i.youku.com/i/UMjk1ODY1Nzk3Mg==
2.也是从杯莫停开始，剧情有点混乱，可能是未完结的原因吧，但总感觉编剧有点着急，但是又偏偏想...     2.0                                 卐望月狐卍  2017年10月20日    NaN     2.0  http://i.youku.com/i/UMTgyOTQxMDkwNA==
很多年纪大的老烟枪，就算是在小孩子面前，也忍不住吸烟，不管别人怎么说吸烟不好，对你不好，对家...     1.0                               永生永世的眷恋  2017年10月18日    NaN     NaN  http://i.youku.com/i/UMzYxOTc1NjY4MA==
求一个动漫，四个主人公，其中一个用头发攻击对手，还有一个是左拳绝招一出招，那只手就废掉了，小...     1.0                                 洛洛_清雨  2017年10月17日    (1)     NaN  http://i.youku.com/i/UNDYyOTI5NTIwOA==
先不说有没有结局的问题，就画质感来说我个人还是比较喜欢的，《画江湖之不良人》《画江湖之杯莫停...     2.0                                  崔8冷血  2017年10月13日    NaN     NaN  http://i.youku.com/i/UNTI1MDg3MjkwMA==
    我说画江湖之换世门生第一集里面主角杀空明志时这么熟悉，才想起魏和尚就是怎么死的😒😒😒     2.0                              筱舞丶执千般思逸  2017年10月03日    NaN     1.0  http://i.youku.com/i/UMzI3ODc4MzgzNg==
画江湖之不良1 画江湖之不良二 画江湖之杯莫停 画江湖之灵徒 画江湖之换世门生 就这么多 就...     2.0                                墨尔本的邂逅  2017年10月01日    (1)     4.0  http://i.youku.com/i/UMTgzNzc4NjY3Mg==
我不是老粉，第一集没看完只一个感慨：这么暴力的动漫！动漫粉青少年还是占大多数！制作方显然没有...     8.0                                爱穿吊带的妞  2017年09月30日    (1)     3.0  http://i.youku.com/i/UNDI0ODM2OTg3Ng==
少年锦衣卫真不是我说，能甩这个几条街。本来作为不良人的死忠粉，不应该这么说，但我还是想说，这...     NaN                               V_V泰莉萨w  2017年12月17日    NaN     NaN  http://i.youku.com/i/UNDg5MDI5MjAwMA==
中国动漫进步很大，现在好看的也有不少。十年前从犬夜叉入门，那时候国漫就秦时明月还不错，现在慢...     1.0                                 曾经很依恋  2017年12月14日    NaN     NaN  http://i.youku.com/i/UNDE0NjAyNjA4OA==
  还是不良人第一部画风好，后面的画江湖系列画风全跑偏了！还有头无尾，甚至连开头都交代的不清不楚！     6.0                                  笑却遗忘  2017年09月15日    NaN     NaN  http://i.youku.com/i/UNDY0MTEyMzE1Mg==
平行宇宙这个梗太多了，欧美都玩老了，漫威，日本也是钢…炼金术师，请务必把故事讲好谢谢谢谢谢谢...     NaN                                 东东哥ok  2017年10月29日    NaN     NaN  http://i.youku.com/i/UMzcxODYwMjA5Ng==
             这里面的女的 长的都特么一个样 找个好点的画师好么·3D建个膜就拿出来放     5.0                        优酷用户6342362022  2017年09月22日    NaN     NaN  http://i.youku.com/i/UNDY5MDAyNDc4MA==
 天啊，画江湖个个都是精品，可是咋就不出个大结局的了。好着急我都快记不得其他的剧情了，看太多都混了     5.0                                 瞄了个西瓜  2017年09月19日    NaN     2.0  http://i.youku.com/i/UNDE0NzcxNTg5Ng==
第二集看完，主角“换心”瞬间觉得世界都变好了，而且由于和女主的前仇，所以对后续剧情还是十分期...     NaN                                 卐望月狐卍  2017年10月21日    NaN     NaN  http://i.youku.com/i/UMTgyOTQxMDkwNA==
看了几乎全部若森的片子，除了门生刚看两集，后面正在看，不过感慨已经抑制不住了，评论完全个人观...     1.0                                 卐望月狐卍  2017年10月20日    NaN     1.0  http://i.youku.com/i/UMTgyOTQxMDkwNA==
若森这么多动漫没一个是完整的结局，不良人算个结局把还不知道那个盒子里写的什么鬼王看了就自杀了...     3.0                                 浅念for  2017年10月15日    NaN     NaN  http://i.youku.com/i/UMzA5NTY3MDQ1Ng==
            能不能有始有终，若森真没品，每个故事都没结尾，喜新厌旧你特码有病吧！！！！     3.0                                  一白师兄  2017年11月19日    NaN     NaN  http://i.youku.com/i/UNDY1NDMyMTEyOA==
国漫的崛起我们也都看到了，当然也有不足的地方。从画江湖系列，秦时明月，狐妖小红狼，镇魂街都是...     NaN                                  左T油菜  2017年10月08日    NaN     NaN  http://i.youku.com/i/UNTIzODg0OTIzNg==
   画江湖系列追了这么久。最喜欢的是灵主，题材特别。爱情刻画的非常好 再就是不良人，好好看好好看     1.0                               果果12950  2017年10月05日    NaN     1.0  http://i.youku.com/i/UNDU4MDUzMDYyMA==
                        想到下学期大学公体课选了散打就有点方😂，好害怕啊     NaN                                  乔丹酱v  2018年02月11日    NaN     NaN  http://i.youku.com/i/UNDg3MDI0NjQ4OA==
           告诉你们，现在相当于转世。以后可能从回忆那里回去😱修真一绝，天下谁人蒙低！     NaN                              wysh6669  2018年02月08日    NaN     NaN  http://i.youku.com/i/UNDU1MjUwMTUwNA==
这家公司的这套路虽然还行，不过长期这样确实会没朋友，别的动漫公司如果能创作出好的作品的话，这...     NaN                         liupinpin0613  2018年02月01日    NaN     NaN  http://i.youku.com/i/UNDYyNzAxNDk0OA==
你们这些哈比、刚开始杯莫停出来的时候说不好看、跟日本有一个动漫一模一样、到现在还不是看的津津...     3.0                 支付宝用户1503799039566356  2017年09月14日    NaN     7.0  http://i.youku.com/i/UNDk0MzA0Njk3Ng==
                       那个刀斧帮的梁众明显就是夏洛特烦恼里要钻小树林的那位     2.0                        ykapp_lvahr5lr  2017年11月13日    NaN     NaN  http://i.youku.com/i/UMTY4NTAxMzg3Ng==
     自己教过的孩子他爸就是画江湖众多努力者之一～每次他爸在朋友圈发东西，我都老骄傲了～哈哈哈     2.0                              _余生请多指教_  2017年09月21日    NaN     2.0  http://i.youku.com/i/UMzE1MTEyNzcyOA==
              人家是一周一更，VIP可以提前看下周看的也没毛病，总比有些更不出来好吧     2.0                                    佾丶  2017年09月21日    NaN     1.0  http://i.youku.com/i/UMzMxMzg3ODQ3Mg==
追了这么久的不良人，不管怎样都是真心喜欢，有些故事不一定非要有结局，留有遐想不是更好嘛，有些...     NaN                          柠檬不萌55972432  2017年12月16日    NaN     NaN  http://i.youku.com/i/UMzI5MDMxODI4MA==
                 不把前面的烂结局收拾好，决不看画江湖的新东西，不然最后又是一坨翔     7.0                               czy0401  2017年09月14日    NaN     1.0  http://i.youku.com/i/UMTQ3OTMwNjI5Ng==
                        表示追了不良人，耐心看了杯莫停，换世门主一集懒得看     NaN                       支付宝用户5653218421  2017年12月08日    NaN     NaN  http://i.youku.com/i/UNDc2ODc4Mjk4NA==
   我只想问一下为什么侠岚之后出的都越来越暴力，我还是比较期待侠岚和灵主，这种杀人游戏有点看够了     6.0                        优酷用户7763681279  2017年09月25日    NaN     2.0  http://i.youku.com/i/UNDMwNTk5MDAwOA==
若森铺的路感觉太宽了吧，没有一部有结局，剧情都不同，以后怎么收尾？跟玄机比有点差距。感觉就像...     5.0                                   黎仲雨  2017年09月22日    NaN     NaN  http://i.youku.com/i/UMTc3MDU4NDc5Mg==
         第一男主太丑，第二有必要把反派描述的像个智障一样么，丑，结巴猥琐，真的是什么心理     6.0                               刘海儿黑多阙阙  2017年09月15日    NaN     2.0  http://i.youku.com/i/UNDE2OTYyNTY5Ng==
出了一部又一部没一部是有头有尾的，从画一看到现在从天天盼着看到现在一分钟都看不下去了垃圾画江...     NaN                  微信用户1474527989378575  2017年11月17日    NaN     NaN  http://i.youku.com/i/UNDAxMDQ4MTMxMg==
             我只想问问什么时候开始更新，工作人员都上班了吗？制作人，我等一个多月了。     NaN                                 就叫哥满吧  2018年02月27日    NaN     NaN  http://i.youku.com/i/UNDg3MDEyODYwOA==
